Va_V,I_tat_A,I_no_tat_A,enhancement,J_std_over_mean,I_srh_closed_A,I_tat_closed_A
-2.3346153846153843,-8.59365483019467e-10,-6.333447147220236e-10,1.3568684841660745,1.190227228087046,-1.2243366832406193e-09,-1.5464787474730745e-09
-2.4615384615384612,-6.656322255194131e-10,-6.566324561569512e-10,1.0137059465734217,2.9434945147640077,-1.2492938873426443e-09,-1.5845061453847344e-09
-2.588461538461538,-9.280159340438682e-10,-6.786686096348403e-10,1.3674065970771656,1.2800699132091502,-1.2737621912958289e-09,-1.621977831386061e-09
-2.715384615384615,-9.622356086767942e-10,-7.01225714912629e-10,1.372219512509872,1.5808088193614127,-1.2977692487487162e-09,-1.6589217444126626e-09
-2.842307692307692,-9.948116070616249e-10,-7.223376206402747e-10,1.3772114017539767,1.4661728020914453,-1.3213402007132243e-09,-1.6953634042343583e-09
-2.969230769230769,-1.0276169445943012e-09,-7.436784178547252e-10,1.3818028329484777,5.163005233201028,-1.3444979840237464e-09,-1.7313262024337086e-09
-3.096153846153846,-1.060287108867176e-09,-7.648383944017195e-10,1.386289073127096,2.4007053343247815,-1.3672635927526831e-09,-1.7668316493895718e-09
-3.2230769230769227,-1.0906076146230582e-09,-7.840647934380629e-10,1.3909661851297122,1.4208458921186127,-1.3896563010651342e-09,-1.8018995851724468e-09
-3.3499999999999996,-1.1240991068907834e-09,-8.059287106899326e-10,1.3947872708598186,3.0975989856544737,-1.4116938542449938e-09,-1.8365483606279713e-09
-3.4769230769230766,-1.1530278188171997e-09,-8.239301574536224e-10,1.3994242210779881,2.8826222772428833,-1.4333926332781752e-09,-1.8707949936709866e-09
-3.6038461538461535,-1.184061823097908e-09,-8.437496955922329e-10,1.4033330373729,1.2671792067853886,-1.454767797333718e-09,-1.9046553048395485e-09
-3.7307692307692304,-1.2160797125826454e-09,-8.643541326258741e-10,1.4069230037556975,1.1367835365415626,-1.4758334076657343e-09,-1.938144035396715e-09
-3.8576923076923073,-1.2429018511620185e-09,-8.805979468906075e-10,1.4114294219634584,1.980325439208219,-1.4966025358141387e-09,-1.9712749506673295e-09
-3.9846153846153842,-1.2737881444449427e-09,-9.003288616645588e-10,1.4148031887925037,1.9693341470889227,-1.5170873584696315e-09,-2.0040609308197166e-09
-4.111538461538461,-1.3051417151664291e-09,-9.203595767024948e-10,1.4180780514530515,1.5699473931211259,-1.5372992409584482e-09,-2.0365140509203345e-09
-4.2384615384615385,-1.330465571230901e-09,-9.353459510918991e-10,1.4224315288666713,1.5296635547827857,-1.5572488109722468e-09,-2.068645651781867e-09
-4.365384615384615,-1.359285272270094e-09,-9.533671449914823e-10,1.4257731445971302,1.6560806914166817,-1.576946023901114e-09,-2.100466402876011e-09
-4.4923076923076914,-1.3915390223406113e-09,-9.742011331999144e-10,1.4283898621323565,2.7112908112531517,-1.5964002209097152e-09,-2.1319863583790988e-09
-4.619230769230769,-1.4170858565330702e-09,-9.893567033755168e-10,1.4323305757147187,1.761504285227922,-1.615620180718118e-09,-2.163215007252225e-09
-4.746153846153846,-1.441537256210881e-09,-1.0037125698040745e-09,1.4362052439895918,1.2514536578798212,-1.6346141659017578e-09,-2.1941613181204565e-09
-4.873076923076923,-1.472815624787041e-09,-1.0238339251116632e-09,1.438529812954196,1.2844548255201125,-1.6533899644033637e-09,-2.2248337796022415e-09
-5.0,-1.502753854733846e-09,-1.0427100972066306e-09,1.4412000600738886,1.5203265690346017,-1.6719549268484514e-09,-2.255240436645823e-09
0.0,-1.9845266555328202e-27,-1.0820648332099494e-19,1.834018253458727e-08,173.15708783925913,,
0.08571428571428572,2.2177352730404962e-10,1.886719413975346e-10,1.175445196892152,0.9711903622867933,,
0.17142857142857143,1.4132408086557863e-09,1.2197632619492244e-09,1.158618932658603,0.5508051846455544,,
0.2571428571428571,8.695633543051933e-09,7.68252841713667e-09,1.131871315133105,0.2859605919249274,,
0.34285714285714286,6.717955641927522e-08,6.20031782029781e-08,1.0834856916423115,0.03686895501666702,,
