Va,x_cm,psi_V,n_cm-3,p_cm-3,phin_V,phip_V
0.3,-1.521952e-04,0.099755,8.212706e+14,1.008212e+17,0.063167,0.281424
0.3,-1.435029e-04,0.099657,8.409564e+14,1.008409e+17,0.062354,0.281332
0.3,-1.353026e-04,0.099565,8.599623e+14,1.008599e+17,0.061588,0.281246
0.3,-1.275664e-04,0.099478,8.782880e+14,1.008783e+17,0.060865,0.281164
0.3,-1.202682e-04,0.099396,8.959360e+14,1.008959e+17,0.060183,0.281088
0.3,-1.133830e-04,0.099319,9.129117e+14,1.009129e+17,0.059540,0.281016
0.3,-1.068876e-04,0.099247,9.292227e+14,1.009292e+17,0.058934,0.280948
0.3,-1.007598e-04,0.099178,9.448789e+14,1.009449e+17,0.058361,0.280884
0.3,-9.497895e-05,0.099114,9.598920e+14,1.009599e+17,0.057822,0.280824
0.3,-8.952527e-05,0.099054,9.742750e+14,1.009742e+17,0.057312,0.280768
0.3,-8.438029e-05,0.098996,9.880424e+14,1.009880e+17,0.056832,0.280715
0.3,-7.952654e-05,0.098943,1.001210e+15,1.010012e+17,0.056379,0.280665
0.3,-7.494752e-05,0.098892,1.013794e+15,1.010138e+17,0.055952,0.280618
0.3,-7.062770e-05,0.098844,1.025811e+15,1.010258e+17,0.055548,0.280574
0.3,-6.655240e-05,0.098799,1.037279e+15,1.010372e+17,0.055168,0.280533
0.3,-6.270777e-05,0.098757,1.048217e+15,1.010482e+17,0.054809,0.280494
0.3,-5.908076e-05,0.098717,1.058641e+15,1.010586e+17,0.054471,0.280457
0.3,-5.565906e-05,0.098679,1.068571e+15,1.010685e+17,0.054152,0.280422
0.3,-5.243103e-05,0.098644,1.078025e+15,1.010780e+17,0.053851,0.280389
0.3,-4.938573e-05,0.098610,1.087021e+15,1.010870e+17,0.053566,0.280359
0.3,-4.651280e-05,0.098579,1.095577e+15,1.010955e+17,0.053298,0.280330
0.3,-4.380249e-05,0.098549,1.103711e+15,1.011037e+17,0.053046,0.280302
0.3,-4.124559e-05,0.098521,1.111440e+15,1.011114e+17,0.052807,0.280277
0.3,-3.883343e-05,0.098495,1.118781e+15,1.011187e+17,0.052582,0.280252
0.3,-3.655780e-05,0.098470,1.125751e+15,1.011257e+17,0.052370,0.280230
0.3,-3.441098e-05,0.098446,1.132367e+15,1.011323e+17,0.052170,0.280208
0.3,-3.238567e-05,0.098424,1.138645e+15,1.011386e+17,0.051981,0.280188
0.3,-3.047501e-05,0.098403,1.144599e+15,1.011446e+17,0.051803,0.280169
0.3,-2.867250e-05,0.098384,1.150245e+15,1.011502e+17,0.051635,0.280151
0.3,-2.697202e-05,0.098365,1.155597e+15,1.011556e+17,0.051476,0.280134
0.3,-2.536779e-05,0.098348,1.160669e+15,1.011606e+17,0.051327,0.280118
0.3,-2.385437e-05,0.098331,1.165475e+15,1.011654e+17,0.051186,0.280103
0.3,-2.242661e-05,0.098316,1.170027e+15,1.011699e+17,0.051053,0.280089
0.3,-2.107967e-05,0.098301,1.174340e+15,1.011740e+17,0.050927,0.280075
0.3,-1.980897e-05,0.098287,1.178424e+15,1.011778e+17,0.050809,0.280063
0.3,-1.861020e-05,0.098275,1.182295e+15,1.011810e+17,0.050697,0.280051
0.3,-1.747928e-05,0.098263,1.185966e+15,1.011834e+17,0.050591,0.280040
0.3,-1.641237e-05,0.098252,1.189453e+15,1.011846e+17,0.050492,0.280029
0.3,-1.540586e-05,0.098242,1.192774e+15,1.011838e+17,0.050398,0.280019
0.3,-1.445632e-05,0.098234,1.195952e+15,1.011799e+17,0.050310,0.280010
0.3,-1.356053e-05,0.098228,1.199017e+15,1.011713e+17,0.050226,0.280001
0.3,-1.271544e-05,0.098224,1.202006e+15,1.011555e+17,0.050147,0.279993
0.3,-1.191819e-05,0.098224,1.204968e+15,1.011292e+17,0.050073,0.279985
0.3,-1.116606e-05,0.098229,1.207965e+15,1.010879e+17,0.050003,0.279977
0.3,-1.045651e-05,0.098240,1.211077e+15,1.010257e+17,0.049937,0.279970
0.3,-9.787122e-06,0.098261,1.214402e+15,1.009351e+17,0.049875,0.279964
0.3,-9.155623e-06,0.098293,1.218063e+15,1.008067e+17,0.049816,0.279958
0.3,-8.559870e-06,0.098340,1.222204e+15,1.006298e+17,0.049761,0.279952
0.3,-7.997838e-06,0.098406,1.226994e+15,1.003914e+17,0.049709,0.279946
0.3,-7.467620e-06,0.098495,1.232629e+15,1.000772e+17,0.049660,0.279941
0.3,-6.967414e-06,0.098613,1.239328e+15,9.967170e+16,0.049614,0.279936
0.3,-6.495521e-06,0.098764,1.247333e+15,9.915847e+16,0.049571,0.279931
0.3,-6.050339e-06,0.098954,1.256906e+15,9.852093e+16,0.049530,0.279927
0.3,-5.630357e-06,0.099189,1.268325e+15,9.774304e+16,0.049492,0.279922
0.3,-5.234147e-06,0.099474,1.281883e+15,9.681012e+16,0.049457,0.279918
0.3,-4.860364e-06,0.099815,1.297881e+15,9.570968e+16,0.049424,0.279915
0.3,-4.507738e-06,0.100216,1.316625e+15,9.443223e+16,0.049393,0.279911
0.3,-4.175072e-06,0.100683,1.338422e+15,9.297197e+16,0.049364,0.279907
0.3,-3.861237e-06,0.101218,1.363575e+15,9.132739e+16,0.049338,0.279904
0.3,-3.565166e-06,0.101824,1.392380e+15,8.950153e+16,0.049313,0.279901
0.3,-3.285853e-06,0.102502,1.425124e+15,8.750212e+16,0.049290,0.279898
0.3,-3.022351e-06,0.103253,1.462077e+15,8.534136e+16,0.049269,0.279895
0.3,-2.773764e-06,0.104076,1.503494e+15,8.303550e+16,0.049250,0.279892
0.3,-2.539248e-06,0.104970,1.549608e+15,8.060419e+16,0.049232,0.279889
0.3,-2.318006e-06,0.105931,1.600628e+15,7.806967e+16,0.049216,0.279886
0.3,-2.109288e-06,0.106955,1.656738e+15,7.545586e+16,0.049201,0.279883
0.3,-1.912383e-06,0.108038,1.718091e+15,7.278746e+16,0.049188,0.279881
0.3,-1.726625e-06,0.109175,1.784810e+15,7.008904e+16,0.049175,0.279878
0.3,-1.551380e-06,0.110360,1.856981e+15,6.738425e+16,0.049164,0.279876
0.3,-1.386056e-06,0.111585,1.934655e+15,6.469516e+16,0.049154,0.279873
0.3,-1.230089e-06,0.112846,2.017844e+15,6.204178e+16,0.049145,0.279871
0.3,-1.082951e-06,0.114135,2.106519e+15,5.944166e+16,0.049137,0.279868
0.3,-9.441411e-07,0.115445,2.200609e+15,5.690977e+16,0.049129,0.279866
0.3,-8.131885e-07,0.116771,2.300005e+15,5.445837e+16,0.049123,0.279864
0.3,-6.896484e-07,0.118106,2.404553e+15,5.209713e+16,0.049117,0.279861
0.3,-5.731010e-07,0.119443,2.514060e+15,4.983325e+16,0.049111,0.279859
0.3,-4.631507e-07,0.120779,2.628294e+15,4.767166e+16,0.049106,0.279857
0.3,-3.594240e-07,0.122106,2.746987e+15,4.561530e+16,0.049102,0.279855
0.3,-2.615686e-07,0.123422,2.869836e+15,4.366537e+16,0.049098,0.279852
0.3,-1.692522e-07,0.124721,2.996510e+15,4.182159e+16,0.049094,0.279850
0.3,-8.216127e-08,0.126000,3.126649e+15,4.008248e+16,0.049091,0.279848
0.3,0.000000e+00,0.127255,3.259872e+15,3.844558e+16,0.049088,0.279846
0.3,8.216127e-08,0.128477,3.394922e+15,3.691710e+16,0.049085,0.279844
0.3,1.692522e-07,0.129736,3.539966e+15,3.540513e+16,0.049082,0.279842
0.3,2.615686e-07,0.131031,3.695720e+15,3.391339e+16,0.049079,0.279839
0.3,3.594240e-07,0.132363,3.862934e+15,3.244551e+16,0.049076,0.279836
0.3,4.631507e-07,0.133729,4.042386e+15,3.100500e+16,0.049073,0.279833
0.3,5.731010e-07,0.135129,4.234880e+15,2.959522e+16,0.049070,0.279829
0.3,6.896484e-07,0.136561,4.441236e+15,2.821933e+16,0.049066,0.279825
0.3,8.131885e-07,0.138023,4.662281e+15,2.688030e+16,0.049063,0.279821
0.3,9.441411e-07,0.139512,4.898837e+15,2.558085e+16,0.049060,0.279816
0.3,1.082951e-06,0.141027,5.151704e+15,2.432342e+16,0.049057,0.279810
0.3,1.230089e-06,0.142564,5.421642e+15,2.311020e+16,0.049054,0.279804
0.3,1.386056e-06,0.144120,5.709348e+15,2.194306e+16,0.049050,0.279797
0.3,1.551380e-06,0.145692,6.015427e+15,2.082358e+16,0.049047,0.279790
0.3,1.726625e-06,0.147276,6.340361e+15,1.975303e+16,0.049044,0.279781
0.3,1.912383e-06,0.148866,6.684473e+15,1.873235e+16,0.049040,0.279772
0.3,2.109288e-06,0.150460,7.047889e+15,1.776218e+16,0.049037,0.279761
0.3,2.318006e-06,0.152051,7.430491e+15,1.684288e+16,0.049033,0.279749
0.3,2.539248e-06,0.153634,7.831878e+15,1.597448e+16,0.049030,0.279736
0.3,2.773764e-06,0.155204,8.251317e+15,1.515676e+16,0.049026,0.279721
0.3,3.022351e-06,0.156755,8.687699e+15,1.438923e+16,0.049023,0.279705
0.3,3.285853e-06,0.158280,9.139508e+15,1.367115e+16,0.049019,0.279686
0.3,3.565166e-06,0.159774,9.604784e+15,1.300158e+16,0.049016,0.279666
0.3,3.861237e-06,0.161230,1.008111e+16,1.237937e+16,0.049012,0.279643
0.3,4.175072e-06,0.162643,1.056563e+16,1.180318e+16,0.049008,0.279617
0.3,4.507738e-06,0.164004,1.105501e+16,1.127153e+16,0.049005,0.279589
0.3,4.860364e-06,0.165310,1.154557e+16,1.078281e+16,0.049001,0.279558
0.3,5.234147e-06,0.166554,1.203327e+16,1.033528e+16,0.048997,0.279523
0.3,5.630357e-06,0.167731,1.251385e+16,9.927114e+15,0.048993,0.279485
0.3,6.050339e-06,0.168837,1.298295e+16,9.556414e+15,0.048989,0.279443
0.3,6.495521e-06,0.169868,1.343621e+16,9.221213e+15,0.048985,0.279397
