VG,x_cm,psi_V,n_cm-3,p_cm-3,phin_V,phip_V,is_oxide
0.3,6.989168e-06,-0.225343,1.638343e+06,6.103729e+13,0.000000,0.000000,0
0.3,7.552390e-06,-0.235312,1.114135e+06,8.975572e+13,-0.000000,-0.000000,0
0.3,8.160669e-06,-0.245532,7.503223e+05,1.332761e+14,0.000000,0.000000,0
0.3,8.817611e-06,-0.255935,5.017373e+05,1.993075e+14,0.000000,0.000000,0
0.3,9.527109e-06,-0.266436,3.342462e+05,2.991806e+14,0.000000,0.000000,0
0.3,1.029337e-05,-0.276929,2.227381e+05,4.489578e+14,0.000000,0.000000,0
0.3,1.112092e-05,-0.287287,1.492059e+05,6.702148e+14,0.000000,0.000000,0
0.3,1.201469e-05,-0.297364,1.010422e+05,9.896851e+14,0.000000,0.000000,0
0.3,1.297995e-05,-0.306997,6.961160e+04,1.436542e+15,0.000000,0.000000,0
0.3,1.402243e-05,-0.316014,4.911328e+04,2.036109e+15,0.000000,0.000000,0
0.3,1.514832e-05,-0.324249,3.571535e+04,2.799917e+15,0.000000,0.000000,0
0.3,1.636427e-05,-0.331558,2.692018e+04,3.714685e+15,0.000000,0.000000,0
0.3,1.767750e-05,-0.337836,2.111537e+04,4.735887e+15,0.000000,0.000000,0
0.3,1.909579e-05,-0.343040,1.726529e+04,5.791968e+15,0.000000,0.000000,0
0.3,2.062754e-05,-0.347190,1.470473e+04,6.800533e+15,0.000000,0.000000,0
0.3,2.228183e-05,-0.350368,1.300378e+04,7.690072e+15,0.000000,0.000000,0
0.3,2.406847e-05,-0.352702,1.188116e+04,8.416683e+15,0.000000,0.000000,0
0.3,2.599803e-05,-0.354345,1.114963e+04,8.968905e+15,0.000000,0.000000,0
0.3,2.808196e-05,-0.355453,1.068212e+04,9.361438e+15,0.000000,0.000000,0
0.3,3.033261e-05,-0.356167,1.039103e+04,9.623682e+15,0.000000,0.000000,0
0.3,3.276331e-05,-0.356607,1.021558e+04,9.788971e+15,0.000000,0.000000,0
0.3,3.538846e-05,-0.356866,1.011379e+04,9.887489e+15,0.000000,0.000000,0
0.3,3.822363e-05,-0.357011,1.005726e+04,9.943062e+15,0.000000,0.000000,0
0.3,4.128560e-05,-0.357088,1.002736e+04,9.972714e+15,0.000000,0.000000,0
0.3,4.459254e-05,-0.357127,1.001236e+04,9.987655e+15,0.000000,0.000000,0
0.3,4.816403e-05,-0.357145,1.000526e+04,9.994745e+15,0.000000,0.000000,0
