Va_V,I_tat_A,I_no_tat_A,enhancement,J_std_over_mean,I_srh_closed_A,I_tat_closed_A
-4.365384615384615,-1.3591790799868e-09,-9.53285535996504e-10,1.4257838062821342,2.020775030713419,-1.7057069037489268e-09,-2.267169638538826e-09
-4.4923076923076914,-1.3915355063138973e-09,-9.742116524861395e-10,1.4283708296475084,2.7200230897370266,-1.7267725090524084e-09,-2.3012193458478646e-09
-4.619230769230769,-1.4173687124669517e-09,-9.896048169377841e-10,1.4322572891801726,1.3258266265882892,-1.747584205279262e-09,-2.3349544621632284e-09
-4.746153846153846,-1.4416075959519561e-09,-1.0037774983242448e-09,1.4361824192698545,1.1938387177948955,-1.7681509582227283e-09,-2.3683846880186167e-09
-4.873076923076923,-1.4726316466178138e-09,-1.0236954572754548e-09,1.4385446727850038,1.5500307202997443,-1.7884812181251311e-09,-2.4015192038018043e-09
-5.0,-1.502876736879513e-09,-1.042828214943344e-09,1.4411546555260428,1.3832130701694314,-1.8085829602505806e-09,-2.4343667091970845e-09
0.0,1.1646539519537367e-14,1.0533569641869356e-14,1.1056593268481487,5386.721424984687,,
0.08571428571428572,2.2349299657310159e-10,1.9039552466358045e-10,1.1738353460145807,0.9239652448798835,,
0.17142857142857143,1.4621978398481229e-09,1.2687299545076844e-09,1.1524894124656428,0.6139844517456426,,
0.2571428571428571,8.551739616895026e-09,9.035910191236615e-09,0.9464170665605821,0.5035716767527763,,
0.34285714285714286,1.3573311377504087e-07,9.541153525730654e-08,1.4226069563705772,239.2708535802037,,
0.4285714285714286,1.9007738028729006e-06,1.8749018448488528e-06,1.0137990999876227,0.001094820849545624,,
0.5142857142857142,4.671937794028767e-05,4.659928063469978e-05,1.002577235183722,8.443925020711021e-05,,
0.6,0.0012380128071616853,0.0012376235957824789,1.0003144828367305,0.00010560188881876076,,
