Va,x_cm,psi_V,n_cm-3,p_cm-3,phin_V,phip_V
0.448276,-1.220620e-08,0.611645,1.884470e+20,1.800708e+07,0.000000,0.448272
0.448276,-1.090543e-08,0.613277,2.007241e+20,1.690566e+07,0.000000,0.448272
0.448276,-9.678290e-09,0.614864,2.134360e+20,1.589875e+07,0.000000,0.448272
0.448276,-8.520612e-09,0.616408,2.265646e+20,1.497744e+07,0.000000,0.448271
0.448276,-7.428463e-09,0.617907,2.400891e+20,1.413371e+07,0.000000,0.448271
0.448276,-6.398133e-09,0.619361,2.539862e+20,1.336034e+07,0.000000,0.448271
0.448276,-5.426124e-09,0.620772,2.682296e+20,1.265086e+07,0.000000,0.448271
0.448276,-4.509135e-09,0.622138,2.827912e+20,1.199941e+07,0.000000,0.448271
0.448276,-3.644050e-09,0.623461,2.976406e+20,1.140073e+07,0.000000,0.448271
0.448276,-2.827933e-09,0.624741,3.127454e+20,1.085008e+07,0.000000,0.448271
0.448276,-2.058011e-09,0.625978,3.280719e+20,1.034317e+07,0.000000,0.448271
0.448276,-1.331669e-09,0.627173,3.435852e+20,9.876146e+06,0.000000,0.448271
0.448276,-6.464414e-10,0.628325,3.592492e+20,9.445504e+06,0.000000,0.448271
0.448276,0.000000e+00,0.629436,3.750276e+20,9.048088e+06,0.000000,0.448271
0.448276,6.464414e-10,0.630507,3.908877e+20,8.680946e+06,0.000000,0.448271
0.448276,1.331669e-09,0.631599,4.077539e+20,8.321851e+06,0.000000,0.448271
0.448276,2.058011e-09,0.632710,4.256534e+20,7.971879e+06,0.000000,0.448271
0.448276,2.827933e-09,0.633836,4.446047e+20,7.632054e+06,0.000000,0.448271
0.448276,3.644050e-09,0.634974,4.646150e+20,7.303329e+06,0.000000,0.448271
0.448276,4.509135e-09,0.636120,4.856775e+20,6.986578e+06,0.000000,0.448270
0.448276,5.426124e-09,0.637270,5.077690e+20,6.682585e+06,0.000000,0.448270
0.448276,6.398133e-09,0.638419,5.308470e+20,6.392038e+06,0.000000,0.448270
0.448276,7.428463e-09,0.639562,5.548471e+20,6.115517e+06,0.000000,0.448270
0.448276,8.520612e-09,0.640694,5.796810e+20,5.853492e+06,0.000000,0.448270
0.448276,9.678290e-09,0.641809,6.052343e+20,5.606320e+06,0.000000,0.448270
0.448276,1.090543e-08,0.642902,6.313662e+20,5.374241e+06,0.000000,0.448270
0.448276,1.220620e-08,0.643967,6.579091e+20,5.157382e+06,0.000000,0.448269
0.448276,1.358501e-08,0.644998,6.846704e+20,4.955757e+06,0.000000,0.448269
0.448276,1.504655e-08,0.645989,7.114358e+20,4.769270e+06,0.000000,0.448269
0.448276,1.659579e-08,0.646936,7.379731e+20,4.597722e+06,0.000000,0.448269
0.448276,1.823797e-08,0.647833,7.640393e+20,4.440816e+06,0.000000,0.448268
0.448276,1.997869e-08,0.648677,7.893876e+20,4.298163e+06,0.000000,0.448268
0.448276,2.182386e-08,0.649463,8.137763e+20,4.169292e+06,0.000000,0.448268
0.448276,2.377973e-08,0.650190,8.369783e+20,4.053656e+06,0.000000,0.448267
0.448276,2.585295e-08,0.650855,8.587897e+20,3.950640e+06,0.000000,0.448267
0.448276,2.805057e-08,0.651458,8.790389e+20,3.859568e+06,0.000000,0.448267
0.448276,3.038005e-08,0.651998,8.975931e+20,3.779717e+06,0.000000,0.448266
0.448276,3.284929e-08,0.652476,9.143634e+20,3.710318e+06,0.000000,0.448266
0.448276,3.546669e-08,0.652895,9.293073e+20,3.650575e+06,0.000000,0.448265
0.448276,3.824114e-08,0.653258,9.424288e+20,3.599664e+06,0.000000,0.448264
0.448276,4.118205e-08,0.653567,9.537751e+20,3.556752e+06,0.000000,0.448264
0.448276,4.429941e-08,0.653828,9.634323e+20,3.521006e+06,0.000000,0.448263
0.448276,4.760382e-08,0.654044,9.715180e+20,3.491601e+06,0.000000,0.448262
0.448276,5.110649e-08,0.654220,9.781739e+20,3.467736e+06,0.000000,0.448262
0.448276,5.481932e-08,0.654362,9.835572e+20,3.448644e+06,0.000000,0.448261
0.448276,5.875492e-08,0.654474,9.878323e+20,3.433599e+06,0.000000,0.448260
0.448276,6.292665e-08,0.654561,9.911633e+20,3.421933e+06,0.000000,0.448259
0.448276,6.734869e-08,0.654628,9.937077e+20,3.413037e+06,0.000000,0.448258
0.448276,7.203606e-08,0.654677,9.956115e+20,3.406368e+06,0.000000,0.448257
0.448276,7.700466e-08,0.654713,9.970054e+20,3.401454e+06,0.000000,0.448256
0.448276,8.227138e-08,0.654739,9.980031e+20,3.397893e+06,0.000000,0.448254
0.448276,8.785411e-08,0.654757,9.987003e+20,3.395351e+06,0.000000,0.448253
