Va_V,I_avalanche_A,I_no_avalanche_A,M_numeric,M_miller,ionization_integral,J_std_over_mean
-13.887999999999991,-1.916239580381284e-07,-2.8974052618813373e-09,66.13640161394044,333333.66666237667,1.4589878324469625,0.002622966199784689
-13.89199999999999,-1.998619057724901e-07,-2.8970161447982875e-09,68.98888227853007,333333.66666237667,1.4596587182653544,0.001876297237371435
-13.89599999999999,-2.0855597140777998e-07,-2.9003729522630567e-09,71.90660471614565,333333.66666237667,1.4603296780528678,0.0013192797145572556
-13.89999999999999,-2.1803693241728914e-07,-2.896296056609547e-09,75.28130003136725,333333.66666237667,1.4610007117751191,0.0012250523066125144
-13.90399999999999,-2.2794704935677958e-07,-2.9029523686738043e-09,78.52249035037244,333333.66666237667,1.4616718193977434,0.0014843498869032369
-13.907999999999989,-2.3982956254716417e-07,-2.9010635079954895e-09,82.66953201340846,333333.66666237667,1.4623430008863953,0.0009767033671992924
-13.911999999999988,-2.518103984331146e-07,-2.902208347087888e-09,86.76510033670888,333333.66666237667,1.463014256206746,0.0011330827059375173
-13.915999999999988,-2.657357110337939e-07,-2.9068008308464995e-09,91.41861671905745,333333.66666237667,1.4636855853244881,0.0011499429368075557
-13.919999999999987,-3.5853997825547997e-09,-2.901231995935279e-09,1.2358197440184246,333333.66666237667,1.464356988205331,0.18385515729459598
-13.923999999999987,-2.996633465750144e-07,-2.9091515026814855e-09,103.00712984483698,333333.66666237667,1.4650284648150036,0.0010486678442760864
-13.927999999999987,-3.1833958936615924e-07,-2.9071340780863984e-09,109.50289213206986,333333.66666237667,1.4657000151192514,0.0011863069162454843
-13.931999999999986,-3.4231717615603065e-07,-2.9098213213544974e-09,117.64199184460058,333333.66666237667,1.466371639083842,0.0007276972319138432
-13.935999999999986,-3.6853014290592267e-07,-2.9081467376907984e-09,126.72336582250745,333333.66666237667,1.4670570135290297,0.022979476957795904
-13.939999999999985,-3.682791336966425e-09,-2.909054391735373e-09,1.2659754136702426,333333.66666237667,1.467728799476136,0.14685787338561776
-13.943999999999985,-4.351310861850054e-07,-2.9068400278353757e-09,149.69213373225517,333333.66666237667,1.468400658991221,0.007726535303279456
-13.947999999999984,-4.783447645163885e-07,-2.9090581032977173e-09,164.4328671105384,333333.66666237667,1.4690725920401282,0.0007597505154382353
-13.951999999999984,-5.310858811419472e-07,-2.9119804686730583e-09,182.37961650338758,333333.66666237667,1.4697445985887176,0.0037602373950678157
-13.955999999999984,-5.967987816303734e-07,-2.9128874772065286e-09,204.88219551917123,333333.66666237667,1.47041667860287,0.007535453242667856
-13.959999999999983,-6.706991586992762e-07,-2.913278342234242e-09,230.22144811089552,333333.66666237667,1.4710888320484818,0.003996588504465277
-13.963999999999983,-7.764496877923017e-07,-2.914762177987885e-09,266.3852624601776,333333.66666237667,1.471761058891471,0.004451278617969241
-13.967999999999982,-9.490502773141046e-07,-2.9156827906815756e-09,325.49846655035225,333333.66666237667,1.472433359097771,0.01197945530489524
-13.971999999999982,-1.1813280612908938e-06,-2.9172081015254893e-09,404.9515907600642,333333.66666237667,1.4731057326333359,0.0013274430449581164
-13.975999999999981,-1.5639834684469146e-06,-2.917500410024891e-09,536.0696653453329,333333.66666237667,1.4737781794641376,0.018757959243197835
-13.97999999999998,-2.313067857551912e-06,-2.918435653983959e-09,792.5711346057402,333333.66666237667,1.474450699556167,0.0017466397280570744
-13.98399999999998,-4.438273022761648e-06,-2.9192840254788175e-09,1520.3292944521518,333333.66666237667,1.4751232928754325,8.548930964203004e-05
-13.98799999999998,-5.56559298182307e-05,-2.9229133626799124e-09,19041.251967592296,333333.66666237667,1.4757959593879604,1.0664327890527528e-05
0.0,-3.253012255552006e-24,-3.253012255552006e-24,1.0,1.0,nan,1.7624206600739625
0.08571428571428572,2.853790636831424e-10,2.853790636831424e-10,1.0,1.0000004780706353,nan,0.02496735340683674
0.17142857142857143,1.815168179896321e-09,1.8152418757580802e-09,0.9999594016297534,1.0000038245778822,nan,0.006537355678458105
0.2571428571428571,1.0537639731793416e-08,1.051918745827758e-08,1.0017541538820391,1.0000129080676008,nan,0.0027652365064240528
0.34285714285714286,6.181419192752768e-08,6.181886501978949e-08,0.9999244066959122,1.0000305974422126,nan,0.001698693304496621
0.4285714285714286,3.8835300161757436e-07,3.8834364009436076e-07,1.000024106286925,1.0000597623721827,nan,0.00016469877643489794
0.5142857142857142,3.0126798706431403e-06,3.0126798706431403e-06,1.0,1.0001032738722688,nan,1.7917054334705217e-05
0.6,3.665086221027819e-05,3.665133199129517e-05,0.9999871824299019,1.0001640050427898,nan,1.4510421487540079e-05
