VG,x_cm,psi_V,n_cm-3,p_cm-3,phin_V,phip_V,is_oxide
-0.4,-7.855729e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-7.764308e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-7.672888e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-7.581467e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-7.490047e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-7.398626e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-7.307205e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-7.215785e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-7.124364e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-7.032943e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-6.941523e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-6.850102e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-6.758682e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-6.667261e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-6.575840e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-6.484420e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-6.392999e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-6.301578e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-6.210158e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-6.118737e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-6.027317e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-5.935896e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-5.844475e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-5.753055e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-5.661634e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-5.570213e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-5.478793e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-5.387372e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-5.295952e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-5.204531e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-5.113110e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-5.021690e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-4.930269e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-4.838848e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-4.747428e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-4.656007e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-4.564587e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-4.473166e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-4.381745e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-4.290325e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-4.198904e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-4.107484e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-4.016063e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-3.924642e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-3.833222e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-3.741801e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-3.650380e-05,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
