Va,x_cm,psi_V,n_cm-3,p_cm-3,phin_V,phip_V
0.65,2.122147e-05,0.369040,9.949847e+15,3.230457e+14,0.001565,0.647907
0.65,2.255940e-05,0.369298,1.004999e+16,3.181630e+14,0.001564,0.647771
0.65,2.397761e-05,0.369491,1.012544e+16,3.140359e+14,0.001564,0.647626
0.65,2.548091e-05,0.369631,1.018079e+16,3.104760e+14,0.001563,0.647472
0.65,2.707441e-05,0.369731,1.022021e+16,3.073251e+14,0.001563,0.647308
0.65,2.876352e-05,0.369799,1.024735e+16,3.044526e+14,0.001562,0.647133
0.65,3.055398e-05,0.369843,1.026528e+16,3.017530e+14,0.001561,0.646947
0.65,3.245186e-05,0.369870,1.027647e+16,2.991421e+14,0.001561,0.646750
0.65,3.446361e-05,0.369886,1.028286e+16,2.965549e+14,0.001560,0.646540
0.65,3.659607e-05,0.369893,1.028592e+16,2.939415e+14,0.001559,0.646318
0.65,3.885648e-05,0.369894,1.028672e+16,2.912647e+14,0.001558,0.646083
0.65,4.125252e-05,0.369891,1.028601e+16,2.884968e+14,0.001557,0.645833
0.65,4.379231e-05,0.369885,1.028431e+16,2.856177e+14,0.001556,0.645569
0.65,4.648449e-05,0.369878,1.028196e+16,2.826123e+14,0.001554,0.645288
0.65,4.933821e-05,0.369870,1.027917e+16,2.794694e+14,0.001553,0.644991
0.65,5.236314e-05,0.369861,1.027606e+16,2.761803e+14,0.001552,0.644675
0.65,5.556958e-05,0.369851,1.027270e+16,2.727378e+14,0.001550,0.644341
0.65,5.896840e-05,0.369840,1.026914e+16,2.691360e+14,0.001548,0.643987
0.65,6.257114e-05,0.369829,1.026540e+16,2.653696e+14,0.001546,0.643611
0.65,6.639006e-05,0.369817,1.026147e+16,2.614340e+14,0.001544,0.643213
0.65,7.043810e-05,0.369804,1.025736e+16,2.573250e+14,0.001542,0.642791
0.65,7.472904e-05,0.369791,1.025307e+16,2.530386e+14,0.001540,0.642343
0.65,7.927742e-05,0.369777,1.024861e+16,2.485716e+14,0.001537,0.641869
